"season","date","stadium","away_team","home_team","away_total_score","home_total_score","winner_side","winning_margin","margin_bucket"
"中職2024年","2024-04-05 17:05:00","臺北市立天母棒球場","統一7-ELEVEn獅","味全龍",3,2,"away",1,"1_run"
"中職2024年","2024-07-07 17:05:00","樂天桃園棒球場","富邦悍將","樂天桃猿",6,5,"away",1,"1_run"
"中職2024年","2024-06-01 17:07:00","臺北大巨蛋","中信兄弟","味全龍",7,3,"away",4,"4_plus_runs"
"中職2024年","2024-04-20 17:07:00","澄清湖棒球場","中信兄弟","台鋼雄鷹",0,3,"home",3,"2_3_runs"
"中職2024年","2024-10-09 18:35:00","臺南市立棒球場","味全龍","統一7-ELEVEn獅",0,4,"home",4,"4_plus_runs"
"中職2024年","2024-05-30 18:35:00","臺中市洲際棒球場","富邦悍將","中信兄弟",8,6,"away",2,"2_3_runs"
"中職2024年","2024-04-23 18:35:00","臺南市立棒球場","味全龍","統一7-ELEVEn獅",5,10,"home",5,"4_plus_runs"
"中職2024年","2024-06-20 18:35:00","臺北市立天母棒球場","中信兄弟","味全龍",3,0,"away",3,"2_3_runs"
"中職2024年","2024-08-14 18:36:00","澄清湖棒球場","樂天桃猿","台鋼雄鷹",3,1,"away",2,"2_3_runs"
"中職2024年","2024-05-03 18:13:00","臺南市立棒球場","樂天桃猿","統一7-ELEVEn獅",3,9,"home",6,"4_plus_runs"
"中職2024年","2024-07-02 18:35:00","新北市立新莊棒球場","樂天桃猿","富邦悍將",1,2,"home",1,"1_run"
"中職2024年","2024-08-23 18:35:00","嘉義市立棒球場","味全龍","台鋼雄鷹",2,11,"home",9,"4_plus_runs"
"中職2024年","2024-08-31 17:05:00","新北市立新莊棒球場","中信兄弟","富邦悍將",7,5,"away",2,"2_3_runs"
"中職2024年","2024-04-11 18:35:00","臺北市立天母棒球場","富邦悍將","味全龍",4,0,"away",4,"4_plus_runs"
"中職2024年","2024-06-09 17:05:00","臺中市洲際棒球場","台鋼雄鷹","中信兄弟",3,4,"home",1,"1_run"
"中職2024年","2024-08-24 17:05:00","臺南市立棒球場","富邦悍將","統一7-ELEVEn獅",5,7,"home",2,"2_3_runs"
"中職2024年","2024-04-14 14:05:00","臺中市洲際棒球場","味全龍","中信兄弟",2,5,"home",3,"2_3_runs"
"中職2024年","2024-06-08 17:06:00","樂天桃園棒球場","富邦悍將","樂天桃猿",7,1,"away",6,"4_plus_runs"
"中職2024年","2024-08-04 17:05:00","嘉義市立棒球場","統一7-ELEVEn獅","台鋼雄鷹",1,4,"home",3,"2_3_runs"
"中職2024年","2024-04-28 17:05:00","新北市立新莊棒球場","味全龍","富邦悍將",1,2,"home",1,"1_run"
"中職2024年","2024-05-22 18:35:00","澄清湖棒球場","中信兄弟","台鋼雄鷹",10,0,"away",10,"4_plus_runs"
"中職2024年","2024-09-05 18:35:00","新北市立新莊棒球場","味全龍","富邦悍將",5,0,"away",5,"4_plus_runs"
"中職2024年","2024-08-07 18:35:00","花蓮縣立德興棒球場","富邦悍將","統一7-ELEVEn獅",2,0,"away",2,"2_3_runs"
"中職2024年","2024-07-06 17:05:00","臺北市立天母棒球場","台鋼雄鷹","味全龍",4,11,"home",7,"4_plus_runs"
"中職2024年","2024-09-26 18:35:00","臺北市立天母棒球場","統一7-ELEVEn獅","味全龍",2,6,"home",4,"4_plus_runs"
"中職2024年","2024-10-08 18:35:00","臺北市立天母棒球場","富邦悍將","味全龍",0,1,"home",1,"1_run"
"中職2024年","2024-03-30 17:07:00","臺北大巨蛋","樂天桃猿","味全龍",2,3,"home",1,"1_run"
"中職2024年","2024-04-21 14:05:00","臺北市立天母棒球場","樂天桃猿","味全龍",4,7,"home",3,"2_3_runs"
